total_distance,epsilon_required,num_pairs,src_len,trg_len
7,3,3,6,3
66,9,37,43,38
121,22,31,43,33
27,8,17,21,17
244,16,37,48,42
7,3,13,12,13
6,3,12,12,12
8,3,6,9,6
41,10,25,27,25
4,2,42,33,47
56,16,60,55,64
30,6,16,21,16
2,2,16,14,16
8,3,6,9,6
4,2,19,15,19
13,6,22,19,22
52,10,51,42,54
11,2,17,14,17
1,1,34,33,34
19,9,44,39,45
109,9,25,31,25
304,15,45,58,46
26,5,32,28,32
533,32,76,81,82
24,3,12,15,12
3,2,14,14,14
14,3,15,16,16
22,4,22,23,22
0,0,10,10,10
41,4,31,33,32
8,4,23,21,23
130,6,57,64,62
120,14,47,60,51
36,3,24,26,24
238,15,34,45,35
9,5,13,13,13
37,12,55,51,56
9,3,25,18,25
27,12,28,31,28
19,3,11,13,11
8,3,26,24,26
19,4,18,17,18
11,3,16,13,16
60,8,18,21,19
2,1,9,7,10
22,7,15,13,16
0,0,12,8,12
23,6,19,18,19
0,0,21,20,21
78,5,35,37,36
37,10,31,31,32
7,2,27,23,27
8,2,15,15,15
36,9,39,33,41
29,6,9,14,9
3,3,19,15,19
20,4,14,17,14
85,9,63,59,66
10,5,20,17,21
26,5,18,17,18
39,8,16,15,16
6,3,15,13,15
28,6,10,16,10
5,2,7,8,7
2,1,20,14,20
77,11,13,22,13
0,0,2,1,2
107,15,31,38,34
22,6,9,11,9
4,2,3,5,3
108,6,31,33,31
84,11,22,29,22
32,5,13,17,13
106,7,58,64,62
54,9,39,41,40
135,19,54,56,61
34,5,26,28,27
64,7,27,29,27
53,19,64,58,65
8,4,12,14,12
41,22,60,60,66
197,23,108,121,125
52,38,84,69,86
201,43,105,112,112
64,10,25,29,25
4,2,5,7,5
15,11,41,35,41
11,5,19,16,19
17,2,19,21,19
0,0,9,9,9
3,1,12,12,12
10,3,12,13,12
7,3,5,8,5
28,5,17,18,17
0,0,8,8,8
25,7,21,22,21
150,9,40,45,41
12,4,6,10,6
0,0,5,5,5
15,4,9,11,9
73,15,34,41,38
111,7,54,61,55
4,2,7,6,7
8,2,13,13,13
43,8,25,30,27
2,1,5,6,5
95,12,31,34,31
117,19,26,31,27
81,9,21,27,21
2,2,23,19,24
161,22,82,87,85
6,4,20,20,25
37,6,13,16,13
1,1,6,7,6
46,7,30,31,30
0,0,12,8,12
69,7,18,22,18
5,2,14,14,14
38,5,12,17,12
72,36,65,67,69
13,2,39,37,41
16,5,9,13,9
27,4,13,15,13
0,0,6,6,6
0,0,13,12,14
5,2,23,18,24
237,19,32,43,33
17,3,16,21,18
32,11,54,48,58
4,2,7,8,7
329,29,58,70,61
32,6,25,26,25
0,0,27,22,27
10,3,19,15,21
2,2,3,5,3
1,1,11,9,11
4,2,16,16,16
6,2,7,8,7
5,4,23,22,23
11,3,13,14,13
10,5,5,7,5
169,15,44,49,46
0,0,5,5,5
47,8,27,31,28
0,0,6,6,6
73,8,26,30,29
49,8,30,31,30
4,2,7,7,7
21,7,22,24,22
14,3,12,13,12
0,0,12,9,12
55,8,12,19,12
31,14,34,30,34
19,5,7,11,7
45,9,14,18,14
50,8,13,20,13
10,4,12,14,12
0,0,27,23,27
7,2,23,20,23
36,8,19,20,19
32,6,15,19,15
12,4,10,10,10
3,2,9,9,9
112,9,90,90,90
163,7,43,49,45
85,15,54,55,58
39,11,60,59,62
91,13,51,59,54
43,9,11,19,11
29,6,13,20,14
288,13,38,52,41
56,6,26,33,27
86,28,45,46,46
6,2,6,8,6
139,22,92,94,95
257,23,53,66,62
50,7,22,23,22
76,10,22,28,24
38,7,14,16,14
49,8,38,40,40
19,6,19,19,20
129,13,32,40,35
25,5,20,20,20
73,6,45,50,46
587,36,46,70,51
95,11,22,30,22
28,3,33,34,35
0,0,8,8,8
11,4,104,81,117
96,7,38,41,38
113,10,34,42,36
39,11,13,17,13
31,11,17,18,17
12,3,9,12,9
97,9,25,35,31
20,3,18,20,18
9,6,9,9,9
165,16,47,62,52
63,19,24,29,25
33,7,52,52,57
9,5,23,23,24
194,20,30,38,31
10,3,8,10,8
178,18,25,37,27
91,9,21,26,22
35,9,23,20,23
138,13,29,31,31
7,2,13,14,13
8,2,8,9,8
189,23,37,44,37
6,2,9,11,9
60,10,53,56,54
53,14,15,21,15
2,2,26,26,30
3,1,16,13,16
126,11,30,38,30
192,23,36,47,38
16,5,9,9,9
14,7,29,24,30
2,2,39,31,39
15,4,7,10,7
148,8,49,51,49
54,9,36,38,40
29,7,30,32,30
16,3,11,14,11
59,6,22,26,22
101,6,27,35,30
14,2,21,21,21
16,3,24,22,24
5,2,8,9,8
40,9,22,25,23
102,8,24,29,24
12,3,34,33,35
50,2,74,76,76
57,10,40,41,40
18,6,71,68,73
13,4,36,34,36
71,13,23,29,25
0,0,27,23,27
209,10,51,58,54
26,6,17,21,18
24,5,24,26,24
22,5,20,21,20
34,5,17,19,17
115,13,39,46,39
6,2,17,16,17
172,21,51,59,54
53,6,20,21,20
0,0,5,5,5
6,2,9,9,9
3,2,7,6,7
729,35,77,91,83
510,24,69,88,75
2,1,22,20,22
32,5,16,17,16
10,3,18,18,18
58,15,21,24,22
46,9,44,43,47
31,8,26,26,26
26,10,65,66,69
52,6,18,23,18
10,4,14,15,14
72,8,19,23,19
51,7,24,28,24
66,9,38,39,38
22,6,21,19,22
188,18,39,49,41
6,2,11,13,11
83,8,35,39,37
5,2,11,11,11
80,9,42,45,44
6,2,24,25,26
12,9,7,16,7
0,0,37,35,44
64,9,26,25,26
98,21,55,54,59
73,6,26,30,26
70,9,24,28,24
3,3,18,17,18
11,6,15,16,16
62,15,21,24,22
19,5,21,17,22
8,2,20,18,20
21,4,15,18,15
11,3,14,15,14
96,14,33,38,33
7,2,6,8,6
164,14,42,47,44
1,1,7,8,7
0,0,16,12,16
160,16,59,67,64
210,16,52,59,53
65,7,27,33,29
191,20,25,45,27
35,8,24,21,27
186,17,20,31,21
164,14,18,31,18
21,5,11,15,11
177,20,20,41,21
50,4,31,34,31
21,5,10,15,10
30,6,26,27,26
101,16,15,24,16
48,14,25,30,27
131,11,41,48,41
45,13,33,34,34
310,26,48,63,51
45,6,32,32,32
24,7,12,13,13
45,5,36,39,36
127,9,33,39,33
14,4,43,43,46
59,9,23,28,24
28,4,29,29,29
70,8,58,59,62
492,20,56,72,60
109,11,56,63,59
109,10,31,30,32
9,4,10,11,10
0,0,5,5,5
6,2,9,9,9
5,5,4,6,4
461,26,75,84,75
120,10,46,45,46
61,8,25,22,25
45,8,31,30,33
12,3,17,15,17
13,3,10,12,11
84,16,27,36,30
99,9,31,38,32
0,0,19,16,19
40,6,17,23,17
0,0,18,15,19
21,4,22,22,24
6,2,17,16,18
26,9,40,37,42
24,12,20,22,21
9,2,14,14,15
1,1,24,19,24
62,10,16,26,16
151,49,76,76,88
92,13,28,32,29
183,23,56,59,57
20,3,13,15,13
254,22,43,66,49
142,16,29,44,30
256,33,63,71,66
66,5,57,57,60
128,7,34,39,34
1,1,33,29,37
49,5,17,19,17
2,2,28,22,28
5,3,32,26,35
